name,pointA_Longitude,pointA_Latitude,pointB_Longitude,pointB_Latitude
,77.5592078875,12.9612967547,77.5592263277,12.9602213565
,77.5999248262,12.9918411643,77.6053516894,12.9855323572
,77.597172796,12.9843651772,77.5978446893,12.9839191761
,77.5592687402,12.9569178809,77.5673648204,12.9571401689
,77.5800846938,12.9589313816,77.577640447,12.9588662543
,77.577640447,12.9588662543,77.5744527254,12.959782061
,77.5839869726,12.9638569232,77.5842251863,12.9653159611
,77.5873472776,12.9674708646,77.581047523,12.973055559
,77.5566328831,12.948738233,77.5629589568,12.9490259838
,77.5736426983,12.9210612726,77.5736136969,12.923518176
,77.5930389251,12.9486222275,77.5932963334,12.949071246
,77.5903674449,12.9514775228,77.5850636281,12.9540894915
,77.5952281944,12.9512696516,77.5986586559,12.9482585367
,77.5935100719,12.9544453871,77.5920498606,12.955761262
,77.5737360727,12.9483590357,77.5765568345,12.9519064248
,77.5587700169,12.9125218734,77.5521416917,12.9117814999
,77.5765618637,12.9527560983,77.5735618967,12.9531708349
,77.5770863194,12.9527371552,77.5799950912,12.9552311905
,77.5821330633,12.9577463482,77.5777146268,12.96164167
,77.5607288677,12.9352452967,77.5522627264,12.9299460899
,77.5582702879,12.9434697878,77.5663227822,12.9435303889
,77.5800846938,12.9589313816,77.5796382736,12.9553010956
,77.5551934588,12.9644362804,77.5490399684,12.9646764219
,77.5932422701,13.0056762498,77.5992319781,13.0016974442
,77.5642177511,12.9466429249,77.5676819916,12.9473300733
,77.5717971708,12.9589002848,77.5592419181,12.9585631646
,77.5627112716,12.9334595323,77.5638380509,12.929317531
,77.5548605296,12.9478702869,77.5554978896,12.9504248396
,77.5800210751,12.9483418528,77.5774269599,12.9443255801
,77.5714194823,12.9326378543,77.56936315,12.9299480178
,77.5682568226,12.9476193328,77.5728691324,12.9442287691
,77.5710630838,12.9449807935,77.5678171917,12.9449633591
,77.573278756,12.9169083748,77.5736480627,12.916786921
,77.7523625597,12.983749694,77.7510006681,12.9841899954
,77.7448460881,12.9863686197,77.7413356632,12.9760343198
,77.6230886347,12.981525556,77.622336778,12.9876483687
,77.6416196816,12.9618808896,77.6406028729,12.9841436435
,77.7336959776,12.9878402304,77.7338615201,12.9782756407
,77.7317120649,12.9865116988,77.7336733464,12.9855689861
,77.6592907451,12.9947976291,77.6640205692,12.994746751
,77.6466617316,12.9785674986,77.6287397977,12.9783663329
,77.7352091625,12.9698602937,77.7268385749,12.9715371773
,77.6143038973,12.9683697399,77.611176693,12.9671519332
,77.7034676496,12.9568037193,77.7087655991,12.9564316467
,77.5756567858,12.9770875897,77.5799366694,12.9767471168
,77.5799366694,12.9767471168,77.5825061418,12.9750674673
,77.6043585177,12.9818406318,77.6033924196,12.9790018488
,77.6982867952,12.9731973808,77.6991043661,12.9727395613
,77.6185802605,12.9378141824,77.6238934651,12.9345168255
,77.5535148989,12.9577969749,77.5545114234,12.9529101577
,77.5702163439,12.9234629393,77.564232587,12.9245819233
,77.6468991909,12.9731390428,77.6586143255,12.9714791745
,77.6288444876,12.9241526861,77.6150756191,12.929516685
,77.5603408694,12.9345729843,77.5586387563,12.9292214744
,77.6331783507,12.9298523802,77.6374273889,12.9251489591
,77.5819039859,12.9634135205,77.5767831459,12.9640650459
,77.6269276302,12.9373181414,77.6285273164,12.9383104749
,77.6234304488,12.933508734,77.6153005894,12.9358605284
,77.6096250351,12.9668232788,77.6059899714,12.96840025
,77.6688365593,12.9189288326,77.6617857862,12.9034239881
,77.6601273429,12.8451455373,77.6589470871,12.8390178632
,77.653426598,12.8699126363,77.6533662483,12.8697361972
,77.6565278184,12.88962989,77.6400747292,12.8892329231
,77.6122736327,12.9344384547,77.6152670618,12.9359100655
,77.6633057605,12.8576283704,77.663042485,12.8581872757
,77.6565278184,12.88962989,77.6540973179,12.8705795843
,77.4145432796,12.8341987718,77.4125371549,12.8368560865
,77.6622786421,12.8580768861,77.6630068619,12.8582654789
,77.663042485,12.8581872757,77.662288868,12.8579934861
,77.5271985728,12.8580567695,77.5280005533,12.8577773169
,77.6776325285,12.9139527481,77.6713584226,12.8757649649
,77.5270999178,12.8579175461,77.5224073931,12.8597799212
,77.5279269602,12.8576289572,77.5270999178,12.8579175461
,77.622497962,12.9315405794,77.6268080205,12.9304085195
,77.6991043661,12.9727395613,77.7031366482,12.9674866226
,77.6135448321,12.7714116953,77.6129491303,12.7911283623
,77.6695116378,12.9186390702,77.6761181701,12.9256057728
,77.6632687963,12.89423935,77.672969592,12.8885060444
,77.6713584226,12.8757649649,77.6767929971,12.8766969487
,77.6584673907,12.8703684442,77.6746325616,12.8623943206
,77.6416433185,12.9633650731,77.6415216971,12.9633671686
,77.5851559967,12.9438764777,77.5853681426,12.9437636573
,77.6411923721,12.9702000961,77.6474900313,12.9704596836
,77.5834509499,12.882234956,77.585898298,12.882863934
,77.6147119283,12.9763034627,77.6200125601,12.9746975739
,77.6630068619,12.8582654789,77.6643492237,12.8563256551
,77.5831600979,12.8706042271,77.5819175645,12.8882350575
,77.6758159187,12.9305761576,77.6762263805,12.9260305677
,77.5976746205,12.8557215713,77.5994074952,12.8581536643
,77.680423367,12.9439135257,77.6803232871,12.9442264222
,77.6586143255,12.9714791745,77.6664008621,12.9753423937
,77.6531127795,13.1958592859,77.6577061463,13.1992878196
,77.5389737218,12.9338147573,77.5391882985,12.9510548234
,77.5456842735,12.9775533721,77.5445621881,12.9741226591
,77.6419280518,12.960539785,77.6406251687,12.9606283818
,77.5883780841,12.9677695956,77.5884511742,12.9673244328
,77.5449112944,12.9750443332,77.5421380579,12.9753415555
,77.542152391,12.9737298832,77.542558578,12.9785031256
,77.5939470205,12.972158863,77.599253352,12.9767242342
,77.6015067428,12.9729576584,77.6017675876,12.9765241582
,77.607590831,12.9806752958,77.6033257834,12.9821405363
,77.6024199512,12.9793179304,77.6035460599,12.9840406299
,77.6144678473,12.9806878686,77.6139240294,12.9795909289
,77.6159296512,12.9808816582,77.6162979521,12.9806525808
,77.6375454899,12.9822611518,77.6407020308,12.9824367527
,77.6289668634,12.9691776715,77.6323703352,12.970329848
,77.6252963442,12.9750494462,77.6267491795,12.9728060298
,77.6289668634,12.9691776715,77.6280970733,12.9648317386
,77.8016726256,13.0774193898,77.8075087771,13.0821810652
,77.6762315772,12.9300137319,77.678616564,12.9304636724
,77.6009576443,12.8999179218,77.5949720435,12.9017088831
,77.7956651479,12.9079593521,77.7926807713,12.9080956418
,77.5280005533,12.8577773169,77.5633626293,12.8483907588
,77.6602414206,12.8507742368,77.6625493776,12.8503611766
,77.5964275609,12.8843815614,77.6100786637,12.883086725
,77.662288868,12.8579934861,77.6343670722,12.866845195
,77.6493799828,12.9474199273,77.6506047465,12.9474020738
,77.5983897645,12.9930732202,77.5995215729,12.9905574758
,77.5935304399,12.8710441932,77.5821180597,12.8707402654
,77.6017610498,12.9847539298,77.6053516894,12.9855323572
,77.6053516894,12.9855323572,77.6069228772,12.9853733525
,77.6042887803,12.9922032625,77.6056433797,12.9856400647
,77.5894963976,12.9859412264,77.592320596,12.9832246516
,77.597172796,12.9843651772,77.5971087582,12.9827444524
,77.5747449185,12.9807759624,77.5752704639,12.9816836387
,77.6243732452,12.9352206539,77.6292383533,12.9300047632
,77.5839551214,13.0145242706,77.5834792807,13.0145385199
,77.6785085212,12.930722338,77.6765566274,12.9354834266
,77.571580331,13.0084634841,77.5711273729,13.0093510438
,77.5690350823,13.0119299878,77.5690939232,13.0086225726
,77.4686835847,12.8476371419,77.4613809354,12.8466224287
,77.557352218,13.0347560894,77.5510987315,13.0300572783
,77.6589470871,12.8390178632,77.635183721,12.843954888
,77.616044651,13.0005342875,77.6160700481,13.0007557374
,77.6103006165,12.9703886889,77.614234076,12.9684334424
,77.678616564,12.9304636724,77.6785085212,12.930722338
,77.7047458898,12.8025367193,77.70485695,12.8021994315
,77.623665645,13.0096247968,77.621217291,13.0065435253
,77.6416879941,12.9609833554,77.6408399969,12.9610907275
,77.7087713826,12.9563269567,77.7034589324,12.956720487
,77.5739570196,12.9890266888,77.5722541522,12.9898946349
,77.6406028729,12.9841436435,77.641716744,12.9618432548
,77.5875254769,12.9292595282,77.5895141672,12.9285875511
,77.6417813685,13.0416030985,77.6412694856,13.0371160981
,77.6016081638,12.9845999543,77.601706735,12.9845470645
,77.4703938282,12.9030353192,77.4941318809,12.8803120635
,77.6414408956,12.9594074737,77.6416196816,12.9618808896
,77.5801196463,12.9272472847,77.5770023327,12.9273203749
,77.6225702978,12.9172808666,77.6228280414,12.9173743248
,77.5800286188,12.9367886566,77.5839156426,12.9329141218
,77.5837929316,12.928694085,77.5767558209,12.9287808377
,77.5837929316,12.928694085,77.5839156426,12.9329141218
,77.7039943684,12.9034200486,77.707750383,12.9120921332
,77.5860680315,12.9286343221,77.5837929316,12.928694085
,77.5859721426,12.9263022252,77.5837463282,12.9263650894
,77.5858343441,12.9329229228,77.5860680315,12.9286343221
,77.5746977284,12.9742899619,77.5722905297,12.9803334818
,77.5220524195,12.8489585489,77.5155994437,12.8484672855
,77.6172472864,12.9363466788,77.6172643855,12.9362887599
,77.6195599373,12.9337006796,77.6209729586,12.9363273166
,77.6616504185,12.9668072693,77.6476894367,12.968873157
,77.6269922547,12.9372443807,77.6210618906,12.9275587563
,77.5860680315,12.9286343221,77.5858224418,12.9171586584
,77.6628873359,12.9968874891,77.6621379938,13.0213931565
,77.5748689707,12.9219226807,77.5895738464,12.9216778454
,77.6000461962,12.9106393818,77.5727680467,12.9113813479
,77.6001863416,12.9205797322,77.5895724214,12.9206546664
,77.6798108175,12.9545474786,77.6722209204,12.9578345258
,77.6955713939,12.9071798351,77.6990808967,12.9166555766
,77.6020681627,12.9384944577,77.6022065479,12.9394385953
,77.6323280904,12.9166130804,77.6325789608,12.9066914216
,77.6075135499,12.9360505462,77.6067398164,12.9309313826
,77.6015745524,12.9363251373,77.6020681627,12.9384944577
,77.6097443934,12.9348021455,77.6091979772,12.9245868687
,77.6487459756,12.9035427596,77.6518292587,12.9119956575
,77.6143038973,12.9683697399,77.6138854727,12.9665000726
,77.6175021801,12.9653851956,77.6188970964,12.9624707241
,77.6013683576,12.9559537944,77.6021819889,12.9583661899
,77.779763588,12.7948690381,77.7799105227,12.7951933339
,77.6100847825,12.913958364,77.6062071465,12.9136196513
,77.7826021195,12.8000000201,77.7826391675,12.8002610326
,77.7799105227,12.7951933339,77.7826021195,12.8000000201
,77.6150756191,12.929516685,77.6098707925,12.9311566882
,77.3970918219,12.805886966,77.407753938,12.8167647485
,77.534504072,12.9565515917,77.5285403478,12.9568967585
,77.5325879689,13.0220081367,77.5320623397,13.0194678333
,77.500238768,12.9519777548,77.4888726558,12.9494415585
,77.5372921444,13.0304730207,77.5332804817,13.023402131
,77.6294643294,12.7886256937,77.6307332657,12.7813624393
,77.5121207863,12.9875336204,77.5117765415,12.9881060206
,77.4853224169,12.9130242847,77.482183478,12.9103494518
,77.5285104245,13.0209783361,77.5336349524,13.0323286903
,77.4722788345,12.9838267237,77.4787219196,12.982589471
,77.3969000439,12.9990873195,77.402891093,12.9913262639
,77.5488441672,13.006003647,77.5285613864,12.9991045863
,77.6210091684,13.0748248555,77.6197595943,13.0748020567
,77.7503506515,13.0463403825,77.7391656723,13.0641041499
,77.5838095277,13.1042418991,77.5849375643,13.0991569337
,77.5908293716,13.0985439651,77.5840049937,13.0970362284
,77.5770920191,13.0995112367,77.5824581973,13.0935277313
,77.5934223972,13.0817684241,77.5935834974,13.0847897649
,77.5925854642,13.0725653459,77.589381817,13.0738205359
,77.5600569743,13.0828813732,77.5551912795,13.0698789459
,77.5508771978,13.0533830252,77.5513762563,13.0601562735
,77.5533246297,13.0189594709,77.5542513329,13.0133821525
,77.5352260891,12.9545989435,77.5330106683,12.9605307326
,77.8345936399,13.2063888841,77.7979830794,13.1848210738
,77.7873107374,13.1355979283,77.7913778883,13.1357280993
,77.5121912781,12.9874343787,77.5132063265,12.9877184414
,77.6497859184,12.923995693,77.6487459756,12.9035427596
,77.5682457585,12.971865245,77.5677098196,12.9745350488
,77.5479153685,13.0420026638,77.5551791258,13.0441457488
,77.3928448792,13.0837840204,77.3969776604,13.0845834863
,77.4795172784,12.9855993286,77.4787219196,12.982589471
,77.5670380938,13.0977641967,77.5667703759,13.1037540723
,77.5728900872,13.1080090616,77.5731904946,13.1027007185
,77.4072807796,12.8153871827,77.4193663943,12.8081950906
,77.6091979772,12.9245868687,77.6111536428,12.9216128856
,77.5778835222,13.1064300787,77.5728900872,13.1080090616
,77.6106670733,13.1219167345,77.6304759413,13.1221710414
,77.5669201605,13.1023997244,77.5372656576,13.1068888203
,77.7726352822,13.1755940233,77.7552201182,13.1815944602
,77.7256196786,13.156093777,77.7406633508,13.1541236945
,77.5709672786,13.0981455733,77.5704438287,13.1061532245
,77.5768430765,13.1023937732,77.56977445,13.1025251177
,77.6680486604,13.1345928543,77.6955684602,13.1308787492
,77.5325879689,13.0220081367,77.5216857951,13.0237073999
,77.827464496,13.0603276834,77.8248498451,13.0473957479
,77.5950674295,12.9169534694,77.5951823454,12.9102478631
,77.7559433926,13.0891638611,77.7416895472,13.0918996305
,77.7441611189,13.102727373,77.752123927,13.1019209501
,77.7475405347,13.1350950979,77.7512805399,13.1372569584
,77.7456470627,12.9573483754,77.7523878731,12.983803422
,77.7696591199,13.1691734855,77.7601297341,13.1710059372
,77.7998865258,12.9652422842,77.7949255288,12.9661037762
,77.5916433383,12.9168790381,77.5913861815,12.9102630343
,77.8018885434,13.1587014709,77.7820616543,13.1666411449
,77.7847573582,13.0514254317,77.7919538927,13.051412775
,77.6229782451,12.917316825,77.6226434719,12.9172076926
,77.5810796257,12.8137545556,77.5772024925,12.8152329556
,77.5762258332,12.7507111605,77.5873947192,12.771657788
,77.6526484221,12.8146136168,77.6504684567,12.8144548636
,77.6513009474,12.8227152292,77.6441405389,12.8418360267
,77.598137553,12.8444581374,77.591794464,12.8474918835
,77.6598255943,12.8400904953,77.6640911449,12.8409239918
,77.6550959378,12.85075236,77.6509618994,12.851166426
,77.6642064799,12.8559723578,77.6640243411,12.855696677
,77.528525931,12.9992887367,77.5486318536,13.0061148748
,77.790428051,12.8974156722,77.7970575497,12.8941017192
,77.8159344338,12.9589131929,77.8072743353,12.9550163623
,77.5849982492,12.9365355231,77.584871934,12.9329601385
,77.6230240941,12.8257371567,77.6351535462,12.8255771462
,77.5801196463,12.9272472847,77.5816215995,12.9287096754
,77.7986077827,12.8603240743,77.8073624291,12.8621900536
,77.6275920637,12.8126833483,77.6281013481,12.8173617914
,77.4798023469,13.0011813704,77.474193345,12.9988618464
,77.786975126,13.0723265455,77.7833249748,13.0548290711
,77.601737329,12.9059706617,77.6038425278,12.906011733
,77.6129421733,12.9196371872,77.6124007862,12.9165537365
,77.6129421733,12.9196371872,77.6172923811,12.9198930867
,77.6088618628,12.9439835984,77.6076523542,12.9440117616
,77.7533919413,13.1493930322,77.7670082592,13.1539089502
,77.6202059306,12.9524180561,77.6142207488,12.9550423462
,77.6175684809,12.953658494,77.6166398499,12.9579605896
,77.614234076,12.9684334424,77.6175021801,12.9653851956
,77.5858224418,12.9171586584,77.5858200948,12.9170249671
,77.6117920924,12.9559922673,77.612495837,12.961705121
,77.597292741,12.9647918407,77.594611454,12.9670556251
,77.6422520961,12.9604863923,77.6414028417,12.957923374
,77.6422520961,12.9604863923,77.6285225387,12.9622384615
,77.641716744,12.9618432548,77.6422308899,12.9606007215
,77.6426923975,12.9604353465,77.6422520961,12.9604863923
,77.6422282915,12.9606698722,77.6427234944,12.9606032361
,77.7149052594,12.9563483305,77.7130153917,12.9641254794
,77.5747449185,12.9807759624,77.5760348934,12.9752076965
,77.5734431252,12.9894271761,77.5748727426,12.9922958825
,77.590467944,12.9869713623,77.5933044638,12.9857136578
,77.6033641726,12.9502489872,77.6034261986,12.9505014502
,77.6413019236,12.9581369449,77.6386628814,12.9608928308
,77.6034261986,12.9505014502,77.6052271344,12.9527554277
,77.6799111489,12.9834295891,77.6780861571,12.9727080453
,77.5995215729,12.9905574758,77.5957071364,12.9935658247
,77.6427234944,12.9606032361,77.6722230997,12.957913148
,77.6051738254,12.9519353423,77.6113542218,12.9515924387
,77.6138854727,12.9665000726,77.6142207488,12.9550423462
,77.747613122,12.9613308691,77.7630975984,12.9667163257
,77.6799026832,12.9546091695,77.7010118358,12.9569876183
,77.716440824,12.9606439721,77.7171626736,12.9605687864
,77.7171626736,12.9605687864,77.7170687962,12.9591425218
,77.724654251,12.9765967455,77.72466213,12.9767787166
,77.7274291638,12.9801929172,77.7272463545,12.9801709566
,77.691764082,12.9557500303,77.6901964985,12.9634221539
,77.714233366,12.9643332668,77.7130153917,12.9641254794
,77.5929321397,13.0672537338,77.6009093646,13.0658921775
,77.5532491926,12.9386044283,77.5536849677,12.9418820877
,77.6573410306,12.9593079806,77.6580583539,12.9642162554
,77.5731768321,12.99692965,77.5753718849,12.9919535656
,77.708131592,12.9849203944,77.7057330266,12.9928281334
,77.7219981935,12.958892322,77.7218693636,12.9561331671
,77.7355751164,12.9693431303,77.7403654579,12.9692710459
,77.5917096391,12.8349483654,77.5891147695,12.8353648621
,77.6875388484,12.9913474702,77.6906889353,12.9972609867
,77.6002364654,13.1036265836,77.6005828894,13.1035552536
,77.5917628642,13.047010348,77.5937713358,13.042159573
,77.6798568342,12.954526021,77.6829866368,12.9658310291
,77.6360514995,13.004865636,77.6370157536,13.0048749399
,77.6106076456,13.1628425502,77.6124947473,13.1672914968
,77.6386318683,13.0025093992,77.6384623863,13.0027013447
,77.6436230402,13.0445874751,77.6434095532,13.0448633235
,77.6419956937,13.0421307393,77.6417813685,13.0416030985
,77.7499196541,12.9698347289,77.7630975984,12.9667163257
,77.6016105946,12.9758136243,77.600634522,12.9765640561
,77.5975611295,12.9656667438,77.6074107878,12.9721293587
,77.6370157536,13.0048749399,77.6384326305,13.0057227694
,77.6312882315,13.0247118872,77.6371903486,13.0227584847
,77.6274310473,13.0454736937,77.6275442868,13.0456047867
,77.6434095532,13.0448633235,77.6355744853,13.057056059
,77.6414206952,13.0396039307,77.6489104286,13.0378826231
,77.6275442868,13.0456047867,77.6314866312,13.0532731384
,77.5973863668,13.0990564347,77.5972669247,13.0991342187
,77.6510682657,12.9882764247,77.6510115202,12.9883725651
,77.5937713358,13.042159573,77.6110351227,13.0428996951
,77.6186892252,13.00140852,77.6195609432,13.0040335644
,77.6109174408,13.0014583923,77.6120893985,13.0019542657
,77.616044651,13.0005342875,77.6116641845,13.0008996547
,77.6084790613,12.998304366,77.6157211933,12.994354897
,77.6071574867,12.9963471916,77.6163930867,12.9908317317
,77.6164254408,12.9908832804,77.6179984726,12.9896444351
,77.6197445906,12.9997132801,77.6200918529,12.9999104224
,77.6138723969,12.9905474175,77.6160132188,12.9948446516
,77.6195080533,13.0036409561,77.6203299828,13.0001687527
,77.5895978186,13.0429402635,77.5915274165,13.0469026406
,77.6200918529,12.9999104224,77.62020526,13.0000266794
,77.6197445906,12.9997132801,77.6180247918,12.9983547412
,77.62020526,13.0000266794,77.6203299828,13.0001687527
,77.6489104286,13.0378826231,77.6492488898,13.0378218543
,77.6621171228,13.01451899,77.65704582,13.0183689658
,77.6122410271,13.0478376419,77.6135750908,13.0423960265
,77.6492488898,13.0378218543,77.6549131285,13.0367135991
,77.7006766435,12.955539896,77.7011600278,12.958962227
,77.6699643444,12.9972639203,77.6763498459,13.0002540805
,77.5237460669,12.9980436888,77.5258062549,12.9984645441
,77.6236270882,12.9983263266,77.6351625986,13.0030424882
,77.6178485203,12.9984490376,77.6169499803,12.9958260887
,77.7011600278,12.958962227,77.701875088,12.9675079964
,77.6351625986,13.0030424882,77.6382710274,13.0056386989
,77.6364757914,13.0040986918,77.6369412385,13.0036197499
,77.6366299346,13.0046222255,77.637239299,13.0049559929
,77.653102386,12.9792817205,77.6638623189,12.9854974885
,77.6116012364,13.0563954812,77.5934994269,13.0558647391
,77.589529087,13.0396148272,77.5881292253,13.03289757
,77.5808463573,12.8136159189,77.6012174833,12.798736532
,77.6143549431,12.9844562885,77.6163605649,12.9907799315
,77.636988261,13.0263026886,77.6360514995,13.004865636
,77.6557049669,13.019196092,77.6641497344,13.0289892562
,77.678878247,13.0003882747,77.6863185272,13.0002294377
,77.698023352,12.995010278,77.6806680348,13.0002995942
,77.6313247766,12.9816248816,77.6406028729,12.9841436435
,77.5677869331,12.9749414873,77.5697089873,12.9807516549
,77.5722007595,12.9803159636,77.5724246401,12.9803562805
,77.5724246401,12.9803562805,77.572980947,12.9804358248
,77.7363752529,12.9212404776,77.718125838,12.9219674401
,77.6271199949,13.0145139609,77.6325488698,13.0276723754
,77.6312694561,13.0292062637,77.6218008391,13.0320237566
,77.6405127674,12.9614417616,77.6410181962,12.9614774686
,77.6199640289,13.0260113336,77.6243164997,13.0401491735
,77.6131780401,13.0084921502,77.6199640289,13.0260113336
,77.6000413347,12.9922892608,77.6045150917,12.9924641911
,77.6422158863,12.9607349996,77.6426410165,12.9608375941
,77.653857344,13.0182019983,77.6430312779,13.0175033667
,77.6639217466,12.9894469574,77.6571045771,12.991250743
,77.6386318683,13.0025093992,77.6440436441,12.9945249658
,77.6811118565,13.0519830797,77.6715042677,13.052849098
,77.6517530672,13.0647070602,77.653901349,13.0645707705
,77.621217291,13.0065435253,77.6203221876,13.00522874
,77.6371903486,13.0227584847,77.6431982454,13.0209517654
,77.6432727605,13.0241219689,77.6433923703,13.0091585953
,77.6325488698,13.0276723754,77.6320652339,13.026922698
,77.6667137585,13.1334150293,77.6669317719,13.1275199529
,77.6406251687,12.9606283818,77.6405127674,12.9614417616
,77.6416553885,12.960747321,77.6422158863,12.9607349996
,77.6416845575,12.9624219414,77.643673164,12.9604519427
,77.6408399969,12.9610907275,77.6415139858,12.9607554514
,77.6114970494,12.9051249277,77.6113585803,12.9061727494
,77.6544602543,13.0610292487,77.6587638587,13.0578019645
,77.6019545879,12.9054475471,77.6038060665,12.9054734472
,77.6161756601,12.9417474743,77.618704145,12.9413109448
,77.6101252671,12.9165107373,77.6111536428,12.9216128856
,77.5704484388,13.0377776817,77.5661384642,13.0371504639
,77.5661384642,13.0371504639,77.5659195289,13.0369949796
,77.566717067,13.0324670755,77.5639461774,13.032722975
,77.6577061463,13.1992878196,77.6593681939,13.202477469
,77.6151986655,12.916360366,77.6123906441,12.9051120196
,77.721919236,12.9803646624,77.7218688607,12.9804261856
,77.605861393,12.9056794744,77.6059955872,12.9166070454
